Summary,Description,Start,End,Location
1st match Kolkata Knight Riders v Mumbai Indians,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-08 14:30:00+00:00,2015-04-08 18:30:00+00:00,"Eden Gardens, Kolkata"
2nd match Chennai Super Kings v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-09 14:30:00+00:00,2015-04-09 18:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
3rd match Kings XI Punjab v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-10 14:30:00+00:00,2015-04-10 18:30:00+00:00,"Maharashtra Cricket Association Stadium, Pune"
4th match Chennai Super Kings v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-11 10:30:00+00:00,2015-04-11 14:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
5th match Kolkata Knight Riders v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-11 14:30:00+00:00,2015-04-11 18:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
6th match Delhi Daredevils v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-12 10:30:00+00:00,2015-04-12 14:30:00+00:00,"Feroz Shah Kotla, Delhi"
7th match Mumbai Indians v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-12 14:30:00+00:00,2015-04-12 18:30:00+00:00,"Wankhede Stadium, Mumbai"
8th match Royal Challengers Bangalore v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-13 14:30:00+00:00,2015-04-13 18:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
9th match Rajasthan Royals v Mumbai Indians,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-14 10:30:00+00:00,2015-04-14 14:30:00+00:00,"Sardar Patel Stadium, Motera, Ahmedabad"
10th match Kolkata Knight Riders v Chennai Super Kings,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-14 14:30:00+00:00,2015-04-14 18:30:00+00:00,"Eden Gardens, Kolkata"
11th match Kings XI Punjab v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-15 14:30:00+00:00,2015-04-15 18:30:00+00:00,"Maharashtra Cricket Association Stadium, Pune"
12th match Sunrisers Hyderabad v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-04-16 14:30:00+00:00,2015-04-16 18:30:00+00:00,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
